name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Dudhsagar Falls,"Sonauli, Goa 403410, India",4.6,30982.0,ChIJQ4srFBimvzsRJQI7KOdIlP0,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Sanguem,15.3144375,74.3143073,,,"['adventure', 'nature']"
Shivling Waterfall,"H4WF+W3J, Pali, Goa 403506, India",4.5,299.0,ChIJF3XWiNqZvzsReeuhhhUnApM,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Sattari (Valpoi),15.5973284,74.1226416,,,"['adventure', 'nature']"
Jalavne falls,"J5XV+FH4, Dongurvada, Surla, Goa 403506, India",4.5,269.0,ChIJbzpKjoafvzsRaCj_J0aPg9Y,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Sattari (Valpoi),15.6486329,74.1939471,,,"['adventure', 'nature']"
Hivrem Waterfall,"J4WX+HQ6, Ivre Khurd, Goa 403506, India",4.5,128.0,ChIJqX88uZWevzsRlLG09dvS3nY,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Sattari (Valpoi),15.6464111,74.1493889,,,"['adventure', 'nature']"
Bhagwan Mahavir Wildlife Sanctuary,"87MQ+H89, Goa 403410, India",4.4,3391.0,ChIJVVVVVZUGvzsRsTuQyBI93Ro,"tourist_attraction, park, point_of_interest, establishment,nature,wildlife",Quepem,15.3339015,74.2883536,,,['nature']
Chorla Ghat,"J4X9+RHM, SH 4, Charavade, Goa 403506, India",4.4,2184.0,ChIJeeyaw02ZvzsRCmMjgEHRsCc,"tourist_attraction, park, point_of_interest, establishment,nature,wildlife",Sattari (Valpoi),15.6495989,74.1189133,,,['nature']
Official Dudhsagar Jeep Safari & Trek Booking,"Kulem Station FOB, Kolem, Goa 403410, India",4.4,1063.0,ChIJA1ETXxQHvzsRU7Nrm2PWCiA,"tourist_attraction, park, point_of_interest, establishment,waterfall,nature",Dharbandora,15.3363533,74.244316,,flag,"['adventure', 'nature']"
Kuske Waterfall,"26C5+MFM, Cotigao, Goa 403702, India",4.4,295.0,ChIJodX_ocdZvjsR3ISyT9zV_zY,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Dharbandora,15.0217083,74.2086604,,,"['adventure', 'nature']"
GEC goa waterfall,"CX9G+W6, Bandiwada, Goa 403401, India",4.4,31.0,ChIJDYdenSi7vzsRGqVhGDsb5xA,"tourist_attraction, point_of_interest, establishment, waterfall, trekking, peaceful",Dharbandora,15.4198193,73.9755325,,,"['adventure', 'nature', 'peaceful']"
Bharsa Waterfall,"3566+62Q, Unnamed Road, Gaundongren, Goa 403704, India",4.4,10.0,ChIJrQVFRDdXvjsRmCeuMjk2IGg,"tourist_attraction, point_of_interest, establishment, trekking, waterfall, scenic, moderately crowded",Sanguem,15.0605999,74.1601111,,,"['adventure', 'nature', 'scenic']"
Campal Gardens,"Children Park, Campal, Altinho, Panaji, Goa 403001, India",4.3,2333.0,ChIJZ7IctYzAvzsRGFUrmuUJx6s,"tourist_attraction, park, point_of_interest, establishment,nature,wildlife",Tiswadi (Panaji),15.49806,73.818748,,,['nature']
Cotigao Wildlife Sanctuary,"X6G4+CF8, Canacona Taluka, Cotigao, Goa 403702, India",4.3,742.0,ChIJd80W8otYvjsRt2iX35P2fJM,"zoo, tourist_attraction, park, point_of_interest, establishment,wildlife,nature",Dharbandora,14.9760305,74.2061931,,,['nature']
Caranzol Talyar Waterfall,"Unnamed Road, Caranzol, Satari, Goa 403506, India",4.3,11.0,ChIJMZ2KAYihvzsRUm2PQzM-l6E,"tourist_attraction, point_of_interest, establishment, adventure, waterfall, trekking, scenic",Sattari (Valpoi),15.4990625,74.2160625,,,"['adventure', 'nature', 'scenic']"
Shri Dev Chidambar Temple Mhadei Wildlife Sanctuary,"H5WQ+P34, Nagargaon, Kodal, Goa 403506, India",4.2,5.0,ChIJLe0wiJafvzsRoPZPYzZ4XN8,"hindu_temple, place_of_worship, point_of_interest, establishment",Sattari (Valpoi),15.5967705,74.187701,,,"['nature', 'nightlife', 'religious']"
Tropical Spice Plantation,"H.No. A-14, Arla Bazar, Ponda, Keri, Goa 403404, India",4.1,2153.0,ChIJ0bVnNrm6vzsRIZDi6tHyqmM,"point_of_interest, establishment,nature,trek",Ponda,15.4527447,74.0107308,,,"['adventure', 'food', 'nature']"
Merces Bird Sanctuary,"FRRW+C54, Neugi Nagar, Mersi Tem, Goa 403005, India",4.1,573.0,ChIJLVUWB0m_vzsRIydp_djEClc,"park, point_of_interest, establishment, wildlife sanctuary, bird watching, scenic, photography, relaxation, peaceful",Tiswadi (Panaji),15.4910213,73.8454662,,,"['nature', 'peaceful', 'photography', 'relaxation', 'scenic']"
Carambolim Lake Migratory Bird Sanctuary,"FWPH+F6V, Lake Road, Karmali, Corlim, Goa 403110, India",4.1,374.0,ChIJR4WZsaO-vzsRnO5GtG8Fh7Y,"tourist_attraction, park, point_of_interest, establishment, wetland, wildlife sanctuary, bird watching, relaxation",Bicholim,15.4862398,73.928046,,,"['nature', 'relaxation']"
Cotigao Wildlife Sanctuary Entrance,"X4Q2+86M, NH 66, Poingunin, Goa 403702, India",4.1,156.0,ChIJV9uvKjZavjsRpRXYOZ88X3M,"zoo, park, point_of_interest, establishment",Sanguem,14.9883475,74.1005476,,,['nature']
Bhagwan Mahavir Wildlife Sanctuary Range Forest Office,"96HJ+373, NH 4A, Mollem, Goa 403410, India",4.1,15.0,ChIJYfMjyQYHvzsRJR9qDOoaVSs,"park, point_of_interest, establishment",Ponda,15.3776333,74.2306659,,,['nature']
Mhadei Wildlife Forest Rangers Office,"H5PQ+VXX, Nagargaon, Maloli, Goa 403506, India",4.1,10.0,ChIJD4wk642fvzsR9nUMoeMrCaM,"point_of_interest, establishment",Sattari (Valpoi),15.5872272,74.1899858,,,['nature']
Bondla Wildlife Sanctuary,"C4R4+2HR, Usgao-Ganjem VP, Goa 403406, India",4.0,3408.0,ChIJ1TJ8b1akvzsRjgW-y7x27sQ,"zoo, tourist_attraction, point_of_interest, establishment,nature,wildlife",Dharbandora,15.4401104,74.1063776,,,['nature']
Nadal Waterfall,"Maina, Quepem, Padi, Goa 403703, India",4.0,10.0,ChIJfaj4pQNRvjsRpfqbdqAZXzI,"tourist_attraction, establishment, waterfall, adventure, trekking, scenic, peaceful",Canacona,15.0978161,74.064417,,,"['adventure', 'nature', 'peaceful', 'scenic']"
Chal Waterfall,"3454+8RC Chall Gaondongrim, Canacona, Vaul, Goa 403702, India",3.4,5.0,ChIJaUjBrFZRvjsR3C_EFiB_hUM,"tourist_attraction, point_of_interest, establishment, adventure, waterfall, trekking, scenic",Sanguem,15.0583155,74.1070181,,,"['adventure', 'nature', 'scenic']"
Cunchelim Waterfall,"JR7C+Q7, Mapusa, Goa 403526, India",3.3,19.0,ChIJ1_HG70LrvzsR9_yqsEpZaw4,"tourist_attraction, point_of_interest, establishment, adventure, waterfall, trekking, scenic",Bardez (Mapusa),15.6141969,73.8206561,,,"['adventure', 'nature', 'scenic']"
PCCE FALLS,"Gounlloy, Verna, Lotli, Goa 403713, India",5.0,46.0,ChIJI3Xzhlm3vzsRIzZQ7Lu0nm4,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.3269517,73.9336924,,,['nature']
Konkan Vihar,"Dodamarg Teacher Colony, Road, Sawantwadi",5.0,16.0,ChIJKXwUpoaRvzsR3DkW7TGLCPM,"tourist_attraction, point_of_interest, establishment",Pernem,15.683735,73.969832,,,['nature']
National Flag mast,"FRWQ+485, Panaji - Farmagudi - Margao Hwy Bypass Rd, Patto Centre, Bambolim, Panaji, Goa 403001, India",5.0,8.0,ChIJZ3G-qP_BvzsRv6dY5BejKwo,"museum, point_of_interest, establishment",Tiswadi (Panaji),15.4952612,73.838359,,,['historical']
Spring Valley,"Advai Desaiwada, Birondem VP, Goa 403530, India",5.0,5.0,ChIJhWohAACjvzsRWf1N3RjmvO4,"park, point_of_interest, establishment",Sattari (Valpoi),15.4966217,74.1005419,,,['nature']
GOI - Glimpses Of India,"Talewada, Betora, Ponda, Goa 403409, India",5.0,4.0,ChIJAQAAALy6vzsRtmA7M6-XUpg,"museum, point_of_interest, establishment",Ponda,15.3820842,74.015019,,,['historical']
Massorde spring,"G4GV+3J, Valpoy, Massorde, Goa 403506, India",5.0,4.0,ChIJV1l3DMahvzsR_WKW_p-ZeeA,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.5227656,74.143643,,,['nature']
Bāndalagange Waterfalls || Karnataka,"M487+3PV, Sada",5.0,4.0,ChIJL4qt6bGbvzsRuZpoEqv1_3Y,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.6652373,74.1142822,,,['nature']
Chapoli Waterfall Canacona South Goa,"23M2+7CH, Chapoli, Canacona, Mallikarjun, Goa 403702, India",5.0,4.0,ChIJZ60NMgBRvjsRsumez_C2uNk,"tourist_attraction, point_of_interest, establishment",Canacona,15.033731,74.050117,,,"['nature', 'shopping']"
Small Waterfall,"86HM+V2, Shigaon, Goa 403410, India",5.0,4.0,ChIJazK4bgAHvzsRmMWDF_G6-TY,"tourist_attraction, point_of_interest, establishment",Dharbandora,15.3297474,74.2325394,,,"['nature', 'shopping']"
Gavcho Waterfall,"F62M+F8J, Surla, Goa 403406, India",5.0,3.0,ChIJ1VJ49kYJvzsRmPfnQVJNPpM,"tourist_attraction, point_of_interest, establishment, waterfall, scenic, peaceful",Dharbandora,15.4512087,74.2332505,,,"['nature', 'peaceful', 'scenic']"
River Of Life Church (ROLC),"Before Kadamba Tourist home, Eutico Apartments, Buttem bhat, Merces, Panaji, Mersi Tem, Goa 403005, India",5.0,3.0,ChIJRRQmBIbAvzsRZ_-RMsArvTg,"church, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.4865368,73.8511855,,,"['nature', 'religious']"
Gulambe waterfall chorla,"M46C+4H, Sada",5.0,3.0,ChIJMTH1LACZvzsRN7gDri_NMLM,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.660319,74.121424,,,['nature']
Ghogal waterfall,"HX8P+VHJ, Karapur",5.0,2.0,ChIJV_zNYgCXvzsRlMvG5NmzRAU,"tourist_attraction, point_of_interest, establishment",Bicholim,15.5672137,73.9863965,,,['nature']
Old baniyan Tree GOA-Madgaon,"7XM4+HPM, Colva Circle, Fatorda, Madgaon",5.0,1.0,ChIJVXc7FQCzvzsRgyweRRDa-Ls,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.2839617,73.9568038,,,['historical']
Anthony Da Costa Coconut Plantation,"CR2R+76M, Chicalim",5.0,1.0,ChIJ9appPgDHvzsR6QsHJruw2cw,"tourist_attraction, point_of_interest, establishment",Mormugao (Vasco),15.4007049,73.8405456,,,"['food', 'nature']"
Sahakari Spice Plantation,"C25F+CQ3 Sahakari Spice Farm, Curti, Ponda, Goa 403401, India",5.0,1.0,ChIJ9XrYTAC7vzsRQz6Bk0B68DE,"park, point_of_interest, establishment",Ponda,15.4085238,74.0244231,,,"['food', 'nature']"
Karmale Waterfall,"C2R8+XR, Keri",5.0,1.0,ChIJF5SFRQC7vzsRAFNKsVhgl8s,"tourist_attraction, point_of_interest, establishment",Ponda,15.4424787,74.0170052,,,['nature']
Bhati waterfall,"663C+3W3, Bati, Goa 403704, India",5.0,1.0,ChIJCQ9zHwD_vjsR610iVIUUfvI,"park, point_of_interest, establishment",Sanguem,15.2026283,74.2223068,,,['nature']
RAJ DUDHSAGAR WATERFALLS,"Gudi, Paroda, Margao, Goa 403714, India",5.0,1.0,ChIJnQ8VZmmtvzsRHOG0_45A7Ds,"amusement_park, point_of_interest, establishment",Sanguem,15.2428627,74.0355993,,,['nature']
Hidden Waterfall,"25XG+WVJ, Mangal, Goa 403702, India",5.0,1.0,ChIJQY6pAgBXvjsRZFGL41GIuXo,"park, point_of_interest, establishment",Dharbandora,15.0498253,74.1771558,,,['nature']
Goosebumps Virtual Escape,"first floor, 516/2, Calangute - Baga Rd, Arpora, Baga, Goa 403509, India",4.9,2106.0,ChIJ92vg_37rvzsRdvBfxHb-CS0,"tourist_attraction, amusement_park, point_of_interest, store, establishment",Tiswadi (Panaji),15.5692012,73.7578682,,,"['nature', 'shopping']"
The Tent Church,"4th Floor, Reliance Magnum Building, Kadamba Bus Stand, Madel, Madgaon, Goa 403601, India",4.9,54.0,ChIJgfDAaoaxvzsRtBMM02PIkCE,"church, tourist_attraction, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.2876692,73.9548415,,,"['nature', 'religious']"
Avali waterfall,"25P8+XX, Gaundongren, Goa 403702, India",4.9,8.0,ChIJd7bCNWpXvjsRwLVIgem8sbI,"tourist_attraction, point_of_interest, establishment, waterfall, scenic, relaxation, peaceful",Sanguem,15.037483,74.167388,,,"['nature', 'peaceful', 'relaxation', 'scenic']"
Kudnem Important Bird and Biodiversity Area,"Kudne, Goa 403505, India",4.9,8.0,ChIJGUzc3We9vzsR0jH48u3EoiM,"park, point_of_interest, establishment",Sattari (Valpoi),15.5360625,74.0025625,,,['nature']
Dream Beach,"9R8P+3MC, Bogmalo, Goa 403806, India",4.9,7.0,ChIJDSI10u7JvzsR4lzwLqAN-nk,"park, point_of_interest, establishment",Mormugao (Vasco),15.3651972,73.8366373,,,"['beaches', 'nature']"
"Shri Nageshi Temple,","Bandiwade, Donshiwado, Ponda, Bandiwada, Goa 403401, India",4.8,2812.0,ChIJ9Z288fW6vzsRiiAZ44P99zg,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment,historical",Ponda,15.4074651,73.9837259,,,"['historical', 'religious']"
"Shree Ramnath Damodar Sansthaan, Goa","Zambaulim, Quepem, Goa 403705, India",4.8,1595.0,ChIJdz1rKzxTvjsRwaH6hzHpmN0,"hindu_temple, place_of_worship, point_of_interest, establishment",Canacona,15.1866463,74.0949954,,,"['nature', 'religious']"
Shree Damodar Mandir,"Dr Borges, Building nr, Childrens Park, Vaddem, Vasco Da Gama, Goa 403802, India",4.8,393.0,ChIJo02cU7zHvzsR5-DQ2RfvCHk,"hindu_temple, place_of_worship, point_of_interest, establishment",Mormugao (Vasco),15.3982086,73.815334,,,"['nature', 'religious']"
Kamakshi Temple Arch,"82CM+8XC, Shiroda, Goa 403103, India",4.8,200.0,ChIJyZ7-9QevvzsRFR22zt8ZYD4,"hindu_temple, place_of_worship, point_of_interest, establishment",Ponda,15.3208195,74.0348865,,,"['historical', 'religious']"
Flames Garden Cafe & Plants Nursery,"opposite Chandor Club, Villa Formosa, Chandor",4.8,78.0,ChIJ40ujhS2tvzsRQYI0mfOey6w,"cafe, tourist_attraction, clothing_store, food, store, point_of_interest, establishment",Sanguem,15.2598132,74.0476968,,,"['food', 'nature', 'nightlife', 'shopping']"
Pilar Seminary Museum,"CVVW+22W, Fr. Agnel Church, Pilar, Goa Velha, Goa 403203, India",4.8,46.0,ChIJQc3I1bm5vzsRdyf8hmJ3THs,"museum, point_of_interest, establishment",Tiswadi (Panaji),15.4425841,73.8950171,,,"['historical', 'religious']"
NCPOR Sunset Point,"9QWR+W9J, Unnamed Road, Alto Desterro, Mormugao, Goa 403803, India",4.8,20.0,ChIJRf-Nh2PHvzsRDtdgPz_kCfk,"park, point_of_interest, establishment",Mormugao (Vasco),15.3973406,73.7908956,,,"['nature', 'photography']"
Harvest Ministries,"Sh. No. 6&7, Grace Heritage Complex, Fatorda, Madgaon, Goa 403601, India",4.8,18.0,ChIJeX_hhmGxvzsRR3f-FDZnutg,"church, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.2901892,73.9652548,,,"['historical', 'religious']"
Keri Karmale waterfall,"F244+P2M, Keri, Goa 403404, India",4.8,5.0,ChIJJxvS8ru7vzsRk8yTEK6BlDc,"tourist_attraction, point_of_interest, establishment, waterfall, scenic, adventure, peaceful",Ponda,15.4568345,74.00504,,,"['adventure', 'nature', 'peaceful', 'scenic']"
Shri Chandreshwar Bhootnath Temple,"627P+5PQ, Unnamed Road, Talewada, Paroda, Goa 403705, India",4.7,1414.0,ChIJ0_uBqlCtvzsRSPxTyrAkFmM,"hindu_temple, tourist_attraction, place_of_worship, park, point_of_interest, establishment",Sanguem,15.2134237,74.0365689,,,"['nature', 'religious']"
Neturlem Waterfall (Savri),"366J+FQM, Neturlim, Netravli, Goa 403704, India",4.7,1142.0,ChIJ9WBFt234vjsR5aNM4Prx2cA,"tourist_attraction, park, point_of_interest, establishment,waterfall,nature",Dharbandora,15.0612063,74.2319242,,,['nature']
Hunger burst Bistro,"Heritage Princes Building, opp. Almeida school, Khadpabandh, Ponda, Goa 403401, India",4.7,1054.0,ChIJQ5iQZDO7vzsRLUtZG3vXSxg,"cafe, night_club, restaurant, food, bar, point_of_interest, store, establishment",Ponda,15.400977,74.003582,,,"['food', 'historical', 'nightlife', 'shopping']"
Our Lady of Fatima Church - Don Bosco Panjim,"Don Bosco, MG Road, Panjim, Panaji, Goa 403001, India",4.7,798.0,ChIJ68trVozAvzsRaVyUmInnBCo,"church, place_of_worship, point_of_interest, establishment,religious,historical",Tiswadi (Panaji),15.4967764,73.821457,,,"['historical', 'religious']"
"Shree Damodar, Temple","7XQ7+X79, Fatorda, Madgaon, Goa 403601, India",4.7,667.0,ChIJ-e0cpWGxvzsRAbBV0ZRV7LQ,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.2899024,73.963249,,,"['nature', 'religious']"
Church of the Cross of Miracles,"FWR7+V92, Ella, Old Goa, Goa 403110, India",4.7,513.0,ChIJfU7MxZS-vzsR0AG4t-cAHE8,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Salcete (Margao),15.492147,73.913386,,,"['historical', 'religious']"
Mainapi Waterfall Netravali,"3794+VGF, Neturlim, Netravli, Goa 403704, India",4.7,401.0,ChIJU3FMEfr5vjsRjKsNl2jWNx0,"tourist_attraction, zoo, park, point_of_interest, establishment",Sanguem,15.0696893,74.2563011,,,['nature']
Dudhsagar Plantation,"Karmane Village, Mollem, Goa 403706, India",4.7,260.0,ChIJd_7s7g2pvzsR0zPOCYSiIw0,"lodging, point_of_interest, food, establishment",Sanguem,15.3296133,74.1601603,,,"['food', 'nature']"
Heritage Exotica Villa,"Villa A1, Heritage Exotica, Bardez, Arpora, Goa 403516, India",4.7,256.0,ChIJ7e3F0u7rvzsRiushDCJTilg,"point_of_interest, establishment",Bardez (Mapusa),15.5699222,73.7688268,,,"['historical', 'nightlife']"
Shri Damodar Sal,"7XJ4+4Q9, Comba, Madgaon, Goa 403601, India",4.7,254.0,ChIJYfYxUuazvzsR1ADZVfi4QtA,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.2802765,73.9570518,,,"['nature', 'religious']"
Rock Forest Goa,"H. No, 1/57 B, Gaura waddo, behind Gomes Racing Track, near Peoples High School, Calangute, Goa 403511, India",4.7,183.0,ChIJ_ZUI4OnBvzsRncEH71J_jeQ,"tourist_attraction, lodging, point_of_interest, establishment",Bardez (Mapusa),15.5304007,73.7713409,,,['nature']
Sādagundi Waterfalls || Karnataka,Sada,4.7,151.0,ChIJ0dIqx2qbvzsRfCxx1v1EE_Y,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.6628497,74.1006311,,,['nature']
Vazra Sakla Waterfalls (Karnataka),"M454+CV, Sada",4.7,146.0,ChIJw9Xdk1eZvzsRym4wkFNdRUM,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.6585625,74.1071875,,,['nature']
Our Lady Of Miracles Church,"FWR7+X9G, Old Goa, Goa 403110, India",4.7,97.0,ChIJN1VVpu2-vzsRlQkcMrUJn4A,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.4924326,73.9134459,,,"['historical', 'religious']"
Dharohar : National Museum of Customs and GST,"GR2H+C75 Captain & Port, Avenida Dom João de Castro, opp. Jetty, Ozari, Panaji, Goa 403001, India",4.7,78.0,ChIJTz2sLQXBvzsRZHM8YsJ-kVk,"museum, point_of_interest, establishment",Tiswadi (Panaji),15.501018,73.8282409,,,"['beaches', 'historical']"
Dharohar: National Museum of Customs & GST,"GR2H+C75, Avenida Dom João de Castro, Opp. Jetty Captain & Port, Ozari, Panaji, Goa 403001, India",4.7,75.0,ChIJ6S4n7IjAvzsRdRnA6yvbsQk,"tourist_attraction, museum, point_of_interest, establishment",Tiswadi (Panaji),15.501018,73.8282409,,,"['beaches', 'historical']"
Shri Damodar Temple,"Gogoleshwar Temple Rd, EWS COLONY, Gogol Housing Board, Madgaon, Goa 403601, India",4.7,58.0,ChIJZTVU1S2yvzsRNkvLZsV_fzw,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.282063,73.992065,,,"['nature', 'religious']"
Aqueous Spice Farm,"Tilamol – Rivona – Colomb – Curdi (Zambaulim), Kurpe, Goa 403704, India",4.7,31.0,ChIJmf2RnZdVvjsRSUKaYz2KxGE,"park, point_of_interest, establishment",Sanguem,15.1241694,74.1742121,,,"['food', 'nature']"
Timba Falls,"C72C+5W, Mollem, Goa 403410, India",4.7,15.0,ChIJfSw8rCQHvzsRyytIOathsMs,"tourist_attraction, point_of_interest, establishment",Sanguem,15.4004647,74.2723568,,,['nature']
Carmelite church ruins,"GW39+355, Old Goa, Goa 403402, India",4.7,9.0,ChIJKRKDYgC_vzsRvlbgYtg-b5Y,"point_of_interest, establishment",Salcete (Margao),15.5026414,73.9179693,,,"['historical', 'religious']"
Don Bosco Dam,"446X+9P, Sulcorna",4.7,6.0,ChIJVyyky2pXvjsR4EMSBhEtkfQ,"tourist_attraction, point_of_interest, establishment",Canacona,15.1109173,74.1493259,,,['nature']
Old Bridge Curpem,"45HQ+8HX, Kurpe",4.7,6.0,ChIJkW4juaNVvjsR4GJEu-QDzhM,"tourist_attraction, point_of_interest, establishment",Canacona,15.1283741,74.188976,,,['historical']
Palolem Beach,"Palolem Beach, Goa, India",4.6,28949.0,ChIJuwJb0FFFvjsR9bsPS33GGx4,"natural_feature, establishment, beach, relaxation, scenic, nightlife, water sports",Canacona,15.0099648,74.0232186,,,"['adventure', 'beaches', 'nightlife', 'relaxation', 'scenic', 'water sports']"
BENZ WAX MUSEUM & FISH AQUARIUM,"Junction, Calangute - Arpora Rd, near Arpora, Arpora, Goa 403516, India",4.6,27315.0,ChIJaQVTa_LrvzsRHDEKtziA-JE,"museum, point_of_interest, establishment",Bardez (Mapusa),15.5609664,73.7636452,,,['historical']
Morjim Beach,"JPHH+36R, Morjim, Goa 403512, India",4.6,8145.0,ChIJL0YJ38ruvzsRmbkATYIiC40,"point_of_interest, establishment, beach, relaxation, scenic, photography",Pernem,15.6277403,73.7280048,,,"['beaches', 'photography', 'relaxation', 'scenic']"
Naval Aviation Museum,"Bogmalo Road, Vasco Da Gama, Bogmalo, Goa 403806, India",4.6,7127.0,ChIJoW7X1f7HvzsRsbml_wpjpE4,"tourist_attraction, museum, point_of_interest, establishment",Salcete (Margao),15.3746494,73.8387763,,,['historical']
Mandrem Beach,"MP95+VR7, Near Chopdem, Mandrem, Goa 403527, India",4.6,6875.0,ChIJ0YVAXejuvzsRwE5XWdcQbO4,"tourist_attraction, point_of_interest, establishment, beach, relaxation, scenic, photography, peaceful",Bardez (Mapusa),15.6696522,73.7095472,,,"['beaches', 'peaceful', 'photography', 'relaxation', 'scenic']"
AAA All About Alcohol Museum,"Main Road, Candolim, Goa 403515, India",4.6,2010.0,ChIJ2dIMYnfBvzsREa3ZA2AyWyw,"museum, point_of_interest, establishment",Bardez (Mapusa),15.5095841,73.7693015,,,['historical']
St. Jerome Church,"HRQ9+Q9R, Market Rd, Angod, Mapusa, Goa 403507, India",4.6,1209.0,ChIJ6W_gAd7qvzsRJwDxJqg3318,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Bardez (Mapusa),15.589499,73.818388,,,"['food', 'historical', 'religious', 'shopping']"
Our Lady of Merces Church,"Colva Beach Rd, near Infant Jesus High School, Fatona, Colva, Goa 403708, India",4.6,1005.0,ChIJgzYWXhu0vzsRfZwjXKrB9Ms,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Salcete (Margao),15.2784948,73.9224645,,,"['beaches', 'historical', 'religious']"
